Titre,FRE,GER,ITA,ENG,SPA,RUS,POR,Réalisateur / Réalisatrice,Genre,Langue,Année,Entrées,IMDB,Affiche,Affiche_pic_url,swiss_films_url,Prix,Trailer,Synopsys
DIE SCHWEIZERMACHER,Les faiseurs de Suisse,,I fabbricasvizzeri,The Swissmakers,,,,Rolf Lyssy,Fiction,GER,1978,"940,742",7.3,http://filmplakate.ch/shop/index.php?route=product/product&product_id=1342&search=DIE+SCHWEIZERMACHER,http://www.swissfilms.ch/static/pictures/film/F040687.jpg,http://www.swissfilms.ch/en/film_search/filmdetails/-/id_film/914869685/search/7,-,https://www.youtube.com/watch?v=eyqVmQmQPx0,Che formaggio si mette nella fondue? Pratica lo sci? Una commedia satirica racconta le peripezie con le quali sono confrontati i candidati alla naturalizzazione nella Svizzera degli anni Settanta. 
"ACHTUNG, FERTIG, CHARLIE!","A vos marques, prêts, Charlie!",,,"Ready, Steady, Charlie!",,Армейский пирог,,Mike Eschmann,Fiction,GER,2003,"560,523",5,http://www.imdb.com/title/tt0353161/?ref_=ttrel_rel_tt,http://www.swissfilms.ch/static/pictures/film/F030562.jpg,http://www.swissfilms.ch/en/film_search/filmdetails/-/id_film/1348728271/search/7,-,https://www.youtube.com/watch?v=W5IvYUWWttQ,"Antonio Carrera sta per sposare la figlia di un mafioso, quando l’esercito viene a prelevarlo."
DIE HERBSTZEITLOSEN,Les mamies font pas dans la dentelle,,,Late Bloomers,Las chicas de la lencería,,,Bettina Oberli,Fiction,GER,2006,"559,603",7.2,http://www.imdb.com/title/tt0841109/?ref_=fn_al_tt_2,http://www.swissfilms.ch/static/pictures/film/F051239.jpg,http://www.swissfilms.ch/en/film_search/filmdetails/-/id_film/2146532471/search/7,-,https://www.youtube.com/watch?v=DVMvaKHaEQg,"In un villaggio conservatore dell’Emmental, quattro anziane decidono di aprire un negozio di biancheria intima di lusso, creando non poco scompiglio nella comunità. "
MEIN NAME IST EUGEN,Je m'appelle Eugen,,,Rascals On The Road,Pilluelos en acción,,,Michael Steiner ,Fiction,GER,2005,"543,534",6.8,http://filmplakate.ch/shop/index.php?route=product/product&product_id=6725&search=Mein+Name+ist+Eugen+,http://www.swissfilms.ch/en/film_search/filmdetails/-/id_film/2146532471/search/7,http://www.swissfilms.ch/de/film_search/filmdetails/-/id_film/390229247,Premio del cinema svizzero: miglior film ,https://www.youtube.com/watch?v=I-3WEh3-nlw,"Tratto da un libro per bambini, il film racconta la fuga di quattro ragazzi alla ricerca di un tesoro. Un’avventura che mette in luce il valore dell’amicizia e il difficile rapporto tra figli e genitori. "
LES PETITES FUGUES,,Kleine Erfahrungen,Piccole fughe,Small Escapes,,,,Yves Yersin ,Fiction,FRE,1979,"424,939",7.6,http://www.dvdclassik.com/forum/viewtopic.php?f=3&t=26296,http://www.swissfilms.ch/static/pictures/film/F113348.jpg,http://www.swissfilms.ch/fr/film_search/filmdetails/-/id_film/-1223254005,-,https://www.youtube.com/watch?v=Z0o5WuSO54w,"Emblema del Nuovo cinema svizzero, racconta la sete di libertà di Pipe, bracciante in una fattoria. La critica di allora lo aveva definito “il film più euforico, impertinente e deliziosamente liberatore” della stagione."
GROUNDING  – DIE LETZTEN TAGE DER SWISSAIR,Grounding - Les derniers jours de Swissair,,,Grounding - The Last Days Of Swissair,,,,"Michael Steiner, Tobias Fueter",Fiction,GER,2005,"370,984",6.9,http://www.imdb.com/title/tt0449959/?ref_=fn_al_tt_1,http://www.swissfilms.ch/static/pictures/film/F040995.jpg,http://www.swissfilms.ch/de/film_search/filmdetails/-/id_film/988260650,-,http://t.cineman.ch/movie/2006/GroundingDieLetztenTageDerSwis/trailer.html?trailer_id=82155,"Gli ultimi giorni della Swissair, il famoso grounding del 2 ottobre 2001 e tutto ciò che ha condotto a questa catastrofe."
EIN SCHWEIZER NAMENS NÖTZLI,,,,A Swiss Named Notzli,,,,Gustav Ehmck,Fiction,GER,1988,"350,681",5.8,http://www.imdb.com/title/tt0096057/?ref_=fn_al_tt_1,http://media.services.cinergy.ch/media/box800/bc853784c0d939d46829c8787e4c489982d66f90.jpg,,-,,"Tra le coproduzioni svizzere di maggior successo, questa commedia ha come protagonista il famoso attore svizzero-tedesco Walter Roderer."
ERNSTFALL IN HAVANNA,Micmac à la Havane,,,Crisis in Havana,,,,Sabine Boss,Fiction,GER,2002,"313,617",6.5,http://www.moviemaxx.ch/de/filme/film-ernstfall-in-havanna-mieten-826,http://www.swissfilms.ch/static/pictures/film/F020347.jpg,http://www.swissfilms.ch/en/film_search/filmdetails/-/id_film/276210856,-,https://www.youtube.com/watch?v=-l3eIdY5wZQ,Un incidente tragicomico fa tremare l’ambasciata svizzera all’Avana. Un episodio che rischia di creare una nuova crisi diplomatica tra Cuba e gli Stati Uniti.
MORE THAN HONEY,Des abeilles et des hommes,,Un mondo in pericolo,More Than Honey,Mucho más que miel: More Than Honey,Больше чем мёд,Abelhas e Homens,Markus Imhoof,Documentaire,GER,2012,"254,167",7.5,http://www.imdb.com/title/tt2263058/?ref_=fn_al_tt_1,http://www.swissfilms.ch/static/pictures/film/F113449.jpg,http://www.swissfilms.ch/de/film_search/filmdetails/-/id_film/2146535391,Premio del cinema svizzero: miglior documentario e miglior musica,https://www.youtube.com/watch?v=2NT05qEJxUk,Cosa accadrebbe se le api dovessero scomparire? Un documentario s’interroga sul futuro di questo insetto e del nostro pianeta. 
HÖHENFEUER,L'âme sœur,,Il falò,Alpine Fire,,,,Fredi M. Murer,Fiction,GER,1985,"254,088",7.2,http://filmplakate.ch/shop/index.php?route=product/product&product_id=1915&search=H%C3%96HENFEUER,http://www.swissfilms.ch/static/pictures/film/F000139.jpg,http://www.swissfilms.ch/en/film_search/filmdetails/-/id_film/-710642084,Festival del film Locarno: Pardo d'Oro,https://www.youtube.com/watch?v=eYRZdRqYlIE,Un cinema silenzioso e provocatore nel quale si svolge una lotta tra modernità e tradizione. Probabilmente il film più emblematico di Fredi M. Murer e una delle opere svizzere più forti.
