code,FR,ZH,IT,DE,EN,PT,AR,ES,RU,JA
DIESCHWEIZERMACHER,Les faiseurs de Suisse,瑞士人制造师,I fabbricasvizzeri,Die Schweizermacher,The Swissmakers,Die Schweizermacher,Die Schweizermacher,Los hacedores de suizos,Как стать швейцарцем,The Swissmakers
ACHTUNGFERTIGCHARLIE!,"A vos marques, prêts, Charlie!",冲吧，查理！,"Achtung, fertig, Charlie!","Achtung, fertig, Charlie!","Ready, Steady, Charlie!","Atenção, pronto, Charlie! ","Achtung, fertig, Charlie!","¡En sus marcas, listos, Charlie!",Армейский пирог,"Ready, Steady, Charlie!"
DIEHERBSTZEITLOSEN,Les mamies ne font pas dans la dentelle,大器晚成,Die Herbstzeitlosen,Die Herbstzeitlosen,Late Bloomers,Die Herbstzeitlosen,Die Herbstzeitlosen,Las chicas de la lencería,Неувядаемые,Late Bloomers
MEINNAMEISTEUGEN,Je m'appelle Eugen,我叫尤金,Mein Name ist Eugen,Mein Name ist Eugen,Rascals On The Road,Mein Name ist Eugen,Mein Name ist Eugen,Pilluelos en acción,Меня зовут Ойген,Rascals On The Road
LESPETITESFUGUES,Les petites fugues,离家出走,Piccole fughe,Kleine Fluchten,Small Escapes,Kleine Fluchten,Les petites fugues,Escapaditas,На собственном опыте,Small Escapes
SCHELLENURSLI,Une cloche pour Ursli,小乌尔斯的牛铃,Una campana per Ursli,Schellen-Ursli,A Bell for Ursli,Um sino para o pequeno Urs,Schellen-Ursli,Una campana para el pequeño Urs,Звонкий Урсли,A Bell for Ursli
GROUNDING–DIELETZTENTAGEDERSWISSAIR,Grounding - Les derniers jours de Swissair,停飞-瑞航最后的日子,Grounding – Die letzten Tage der Swissair,Grounding – Die letzten Tage der Swissair,Grounding - The Last Days Of Swissair,Grounding – Die letzten Tage der Swissair,Grounding – Die letzten Tage der Swissair,Grounding' - Los últimos días de Swissair,Аварийная посадка или последние дни Свиссэйр,Grounding - The Last Days Of Swissair
EINSCHWEIZERNAMENSNÖTZLI,Ein Schweizer Namens Nötzli,一个名叫诺茨理的瑞士人,Ein Schweizer Namens Nötzli,Ein Schweizer Namens Nötzli,A Swiss Named Notzli,Ein Schweizer Namens Nötzli,Ein Schweizer Namens Nötzli,Un suizo llamado Nötzi,Швейцарская карьера или дело бухгалтера Нётцли,A Swiss Named Notzli
ERNSTFALLINHAVANNA,Micmac à la Havane,哈瓦那紧急事件,Ernstfall in Havanna,Ernstfall in Havanna,Crisis in Havana,Ernstfall in Havanna,Ernstfall in Havanna,Crisis en La Habana,Гаванский инцидент,Crisis in Havana
MORETHANHONEY,Des abeilles et des hommes,没有蜜蜂的日子,Un mondo in pericolo,More than Honey,More Than Honey,More than Honey,More than honey,Mucho más que miel,"Больше, чем мёд",More Than Honey
HÖHENFEUER,L'âme sœur,阿尔卑斯的激情,Il falò,Höhenfeuer,Alpine Fire,Höhenfeuer,Höhenfeuer,El alma hermana,Огни на вершинах,Alpine Fire
DERVERDINGBUB,L'enfance volée,出租男孩,Vite rubate,Der Verdingbub,The Foster Boy,Der Verdingbub,Der Verdingbub,El hijo adoptivo,Приемный сын,The Forster Boy
VITUS,"Vitus, l'enfant prodige",想飞的钢琴少年,Vitus,Vitus,Vitus,Vitus,Vitus,Un niño extraordinario,Витус,Vitus
LADENTELLIÈRE,La dentellière,编织的女孩,La merlettaia,Die Spitzenklöpplerin,The Lacemaker,La dentellière,La dentellière,La dentellière,Кружевница,The Lacemaker
HANDYMAN,Handyman,杂役,Handyman,Handyman,Handyman,Handyman,Handyman,Handyman,Как найти идеальную жену,Handyman
KASSETTENLIEBE,L'amour en vidéo,影像中的爱,Kassettenliebe,Kassettenliebe,Love on Film,Kassettenliebe,Kassettenliebe,El amor en vídeo,Брачное агентство Феликс Штамм,Love on Film
GIULIASVERSCHWINDEN,La disparition de Giulia,朱莉娅的失踪,La sparizione di Giulia,Giulias Verschwinden,Julia's Disappearance,Giulias Verschwinden,La disparition de Giulia,Desaparición de Julia,Джулия исчезает,Julia's Disappearance
