"","x"
"1","DIESCHWEIZERMACHER.synopsis"
"2","ACHTUNGFERTIGCHARLIE!.synopsis"
"3","DIEHERBSTZEITLOSEN.synopsis"
"4","MEINNAMEISTEUGEN.synopsis"
"5","LESPETITESFUGUES.synopsis"
"6","GROUNDING–DIELETZTENTAGEDERSWISSAIR.synopsis"
"7","EINSCHWEIZERNAMENSNÖTZLI.synopsis"
"8","ERNSTFALLINHAVANNA.synopsis"
"9","MORETHANHONEY.synopsis"
"10","HÖHENFEUER.synopsis"
"11","DERVERDINGBUB.synopsis"
"12","VITUS.synopsis"
"13","LADENTELLIÈRE.synopsis"
"14","HANDYMAN.synopsis"
"15","KASSETTENLIEBE.synopsis"
"16","GIULIASVERSCHWINDEN.synopsis"
"17","DASGEFRORENEHERZ.synopsis"
"18","ACHTUNGFERTIGWK!.synopsis"
"19","BROTUNDSTEINE.synopsis"
"20","DASBOOTISTVOLL.synopsis"
"21","KOMIKER.synopsis"
"22","DERSCHWARZETANNER.synopsis"
"23","MANIMATTERWARUMSYTDIRSOTRUURIG?.synopsis"
"24","SENNENTUNTSCHI.synopsis"
"25","JONASQUIAURA25ANSENLAN2000.synopsis"
"26","NA.synopsis"
"27","NA.synopsis"
"28","NA.synopsis"
