code,FR,IT,DE,EN,PT,AR,ES,RU,JA,ZH,Titre,
DIESCHWEIZERMACHER,Les faiseurs de Suisse,I fabbricasvizzeri,,The Swissmakers,,,,,,,DIE SCHWEIZERMACHER,Die Schweizermacher
ACHTUNGFERTIGCHARLIE!,"A vos marques, prêts, Charlie!","Achtung, fertig, Charlie!",,"Ready, Steady, Charlie!",,,,Армейский пирог,,,"ACHTUNG, FERTIG, CHARLIE!","Achtung, fertig, Charlie!"
DIEHERBSTZEITLOSEN,Les mamies font pas dans la dentelle,Die Herbstzeitlosen,,Late Bloomers,,,Las chicas de la lencería,,,,DIE HERBSTZEITLOSEN,Die Herbstzeitlosen
MEINNAMEISTEUGEN,Je m'appelle Eugen,Mein Name ist Eugen,,Rascals On The Road,,,Pilluelos en acción,,,,MEIN NAME IST EUGEN,Mein Name ist Eugen
LESPETITESFUGUES,Les petites fugues,Piccole fughe,Kleine Erfahrungen,Small Escapes,,,,,,,LES PETITES FUGUES,Les petites fugues
SCHELLENURSLI,Une cloche pour Ursli,Una campana per Ursli,Schellen-Ursli,A Bell for Ursli,Um sino para o pequeno Urs,,Una campana para el pequeño Urs,,,,SCHELLEN-URSLI,Schellen-Ursli
HEIDI,Heidi,Heidi,Heidi,,,,,,,,HEIDI,Heidi
GROUNDING–DIELETZTENTAGEDERSWISSAIR,Grounding - Les derniers jours de Swissair,Grounding – Die letzten Tage der Swissair,,Grounding - The Last Days Of Swissair,,,,,,,GROUNDING – DIE LETZTEN TAGE DER SWISSAIR,Grounding – Die letzten Tage der Swissair
EINSCHWEIZERNAMENSNÖTZLI,Ein Schweizer Namens Nötzli,Ein Schweizer Namens Nötzli,,A Swiss Named Notzli,,,,,,,EIN SCHWEIZER NAMENS NÖTZLI,Ein Schweizer Namens Nötzli
ERNSTFALLINHAVANNA,Micmac à la Havane,Ernstfall in Havanna,,Crisis in Havana,,,,,,,ERNSTFALL IN HAVANNA,Ernstfall in Havanna
MORETHANHONEY,Des abeilles et des hommes,Un mondo in pericolo,,More Than Honey,Abelhas e Homens,,Mucho más que miel: More Than Honey,Больше чем мёд,,,MORE THAN HONEY,More Than Honey
HÖHENFEUER,L'âme sœur,Il falò,,Alpine Fire,,,,,,,HÖHENFEUER,Höhenfeuer
DERVERDINGBUB,L'enfance volée,Vite rubate,,The Forster Boy,O miúdo emprestado,,El hijo adoptivo,,,,DER VERDINGBUB,Der Verdingbub
VITUS,"Vitus, l'enfant prodige",Vitus,,Vitus,,,Un niño extraordinario,Витус,,,VITUS,Vitus
LADENTELLIÈRE,La dentellière,La merlettaia,Die Spitzenklöpplerin,The Lacemaker,,,,,,,LA DENTELLIÈRE,La dentellière
HANDYMAN,Handyman,Handyman,,Handyman,,,,,,,HANDYMAN,Handyman
KASSETTENLIEBE,L'amour en vidéo,Kassettenliebe,,,,,,,,,KASSETTENLIEBE,Kassettenliebe
GIULIASVERSCHWINDEN,La disparition de Giulia,La sparizione di Giulia,,Julia's Disappearance,,,,,,,GIULIAS VERSCHWINDEN,Giulias Verschwinden
DASGEFRORENEHERZ,Le coeur glacé,Das Gefrorene Herz,,The Frozen Heart,,,,,,,DAS GEFRORENE HERZ,Das Gefrorene Herz
ACHTUNGFERTIGWK!,"Achtung, fertig, WK!","Achtung, fertig, WK!",,"Ready, Steady, Ommm!",,,,,,,"ACHTUNG, FERTIG, WK!","Achtung, fertig, WK!"
BROTUNDSTEINE,Du pain et des pierres,Brot und Steine,,Bread and Stones,,,,,,,BROT UND STEINE,Brot und Steine
