code,FR,IT,DE,EN,PT,AR,ES,RU,JA,ZH
DIESCHWEIZERMACHER,Les faiseurs de Suisse,I fabbricasvizzeri,Die Schweizermacher,The Swissmakers,Die Schweizermacher,Die Schweizermacher,,Как стать швейцарцем,,
ACHTUNGFERTIGCHARLIE!,"A vos marques, prêts, Charlie!","Achtung, fertig, Charlie!","Achtung, fertig, Charlie!","Ready, Steady, Charlie!","Atenção, pronto, Charlie! ","Achtung, fertig, Charlie!",,Армейский пирог,,
DIEHERBSTZEITLOSEN,Les mamies ne font pas dans la dentelle,Die Herbstzeitlosen,Die Herbstzeitlosen,Late Bloomers,"Achtung, fertig, Charlie!",Die Herbstzeitlosen,Las chicas de la lencería,Неувядаемые,,
MEINNAMEISTEUGEN,Je m'appelle Eugen,Mein Name ist Eugen,Mein Name ist Eugen,Rascals On The Road,Mein Name ist Eugen,Mein Name ist Eugen,Pilluelos en acción,Меня зовут Ойген,,
LESPETITESFUGUES,Les petites fugues,Piccole fughe,Kleine Fluchten,Small Escapes,Kleine Fluchten,Les petites fugues,,На собственном опыте,,
SCHELLENURSLI,Une cloche pour Ursli,Una campana per Ursli,Schellen-Ursli,A Bell for Ursli,Um sino para o pequeno Urs,Schellen-Ursli,Una campana para el pequeño Urs,Звонкий Урсли,,
GROUNDING–DIELETZTENTAGEDERSWISSAIR,Grounding - Les derniers jours de Swissair,Grounding – Die letzten Tage der Swissair,Grounding – Die letzten Tage der Swissair,Grounding - The Last Days Of Swissair,Grounding – Die letzten Tage der Swissair,Grounding – Die letzten Tage der Swissair,,Аварийная посадка или последние дни Свиссэйр,,
EINSCHWEIZERNAMENSNÖTZLI,Ein Schweizer Namens Nötzli,Ein Schweizer Namens Nötzli,Ein Schweizer Namens Nötzli,A Swiss Named Notzli,Ein Schweizer Namens Nötzli,Ein Schweizer Namens Nötzli,,Швейцарская карьера или дело бухгалтера Нётцли,,
ERNSTFALLINHAVANNA,Micmac à la Havane,Ernstfall in Havanna,Ernstfall in Havanna,Crisis in Havana,Ernstfall in Havanna,Ernstfall in Havanna,,Гаванский инцидент,,
MORETHANHONEY,Des abeilles et des hommes,Un mondo in pericolo,More than Honey,More Than Honey,More than Honey,More than honey,Mucho más que miel: More Than Honey,"Больше, чем мёд",,
HÖHENFEUER,L'âme sœur,Il falò,Höhenfeuer,Alpine Fire,Höhenfeuer,Höhenfeuer,,Огни на вершинах,,
DERVERDINGBUB,L'enfance volée,Vite rubate,Der Verdingbub,The Forster Boy,Der Verdingbub,Der Verdingbub,El hijo adoptivo,Приемный сын,,
VITUS,"Vitus, l'enfant prodige",Vitus,Vitus,Vitus,Vitus,Vitus,Un niño extraordinario,Витус,,
LADENTELLIÈRE,La dentellière,La merlettaia,Die Spitzenklöpplerin,The Lacemaker,La dentellière,La dentellière,,Кружевница,,
HANDYMAN,Handyman,Handyman,Handyman,Handyman,Handyman,Handyman,,Как найти идеальную жену,,
KASSETTENLIEBE,L'amour en vidéo,Kassettenliebe,Kassettenliebe,,Kassettenliebe,Kassettenliebe,,Брачное агентство Феликс Штамм,,
GIULIASVERSCHWINDEN,La disparition de Giulia,La sparizione di Giulia,Giulias Verschwinden,Julia's Disappearance,Giulias Verschwinden,Giulias Verschwinden,,Джулия исчезает,,
DASGEFRORENEHERZ,Le coeur glacé,Das Gefrorene Herz,Das gefrorene Herz,The Frozen Heart,Das Gefrorene Herz,Das Gefrorene Herz,,Лед в сердце,,
ACHTUNGFERTIGWK!,"Achtung, fertig, WK!","Achtung, fertig, WK!","Achtung, fertig, WK!","Ready, Steady, Ommm!","Achtung, fertig, WK!","Achtung, fertig, WK!",,Всем строиться или Армейский пирог - 2,,
BROTUNDSTEINE,Du pain et des pierres,Brot und Steine,Brot und Steine,Bread and Stones,Brot und Steine,Brot und Steine,,Хлеб и камни,,
DASBOOTISTVOLL,La barque est pleine,La barca è piena,Das Boot ist voll,The Boat is Full,Das Boot ist voll,Das Boot ist voll,El bote está lleno,Места в лодке больше нет,,
KOMIKER,Komiker,Komiker,Komiker,Comedians,Comediantes,Komiker,,Комедиант,,
DERSCHWARZETANNER,Tanner l'irréductible,Der Schwarze Tanner,Der schwarze Tanner,,Der Schwarze Tanner,Der Schwarze Tanner,,Битва за урожай или Черный Таннер,,
MANIMATTERWARUMSYTDIRSOTRUURIG?,Mani Matter – Pourquoi êtes-vous si tristes?,Mani Matter – Warum syt dir so truurig?,Mani Matter – Warum syt dir so truurig?,,Mani Matter – Warum syt dir so truurig?,Mani Matter – Warum syt dir so truurig?,,Мани Маттер: почему вы так печальны?,,
SENNENTUNTSCHI,Sennentuntschi,Sennentuntschi,Sennentuntschi,Sennentuntschi: Curse of the Alps,Sennentuntschi,Sennentuntschi,,Пастушья кукла,,
JONASQUIAURA25ANSENLAN2000,Jonas qui aura 25 ans en l'an 2000,Jonas che avrà 20 anni nel 2000,"Jonas, der im Jahre 2000 25 Jahre alt sein wird",Jonah Who Will Be 25 in the Year 2000,Jonas Que Terá Vinte e Cinco Anos no Ano 2000,,"Jonás, que cumplirá los 25 años en el año 2000",,,
